#FOR THE FULL HISTORICAL DATA VISIT : https://ork.ad
time,open,high,low,close,volume
2026-01-04T23:00:00Z,57.293,57.293,56.7876782,57.049,1053
2026-01-04T23:05:00Z,57.049,57.18,56.88,56.943,442
2026-01-04T23:10:00Z,56.943,56.999,56.934,56.953,206
2026-01-04T23:15:00Z,56.953,57.035,56.948,56.965,196
2026-01-04T23:20:00Z,56.965,57.125,56.963,57.1,178
2026-01-04T23:25:00Z,57.1,57.135,57.088,57.104,107
2026-01-04T23:30:00Z,57.104,57.124,57.044,57.044,141
2026-01-04T23:35:00Z,57.044,57.059,56.99,57.045,88
2026-01-04T23:40:00Z,57.045,57.104,57.033,57.089,99
2026-01-04T23:45:00Z,57.089,57.145,57.053,57.135,78
2026-01-04T23:50:00Z,57.135,57.265,57.135,57.254,161
2026-01-04T23:55:00Z,57.254,57.363,57.234,57.308,139
2026-01-05T00:00:00Z,57.308,57.38,57.299,57.365,146
2026-01-05T00:05:00Z,57.365,57.435,57.339,57.38,138
2026-01-05T00:10:00Z,57.38,57.385,57.358,57.375,74
2026-01-05T00:15:00Z,57.375,57.455,57.369,57.408,87
2026-01-05T00:20:00Z,57.408,57.425,57.373,57.408,81
2026-01-05T00:25:00Z,57.408,57.408,57.339,57.394,82
2026-01-05T00:30:00Z,57.394,57.434,57.373,57.414,58
2026-01-05T00:35:00Z,57.414,57.424,57.403,57.404,40
2026-01-05T00:40:00Z,57.404,57.409,57.353,57.383,121
2026-01-05T00:45:00Z,57.383,57.395,57.358,57.365,48
2026-01-05T00:50:00Z,57.365,57.425,57.353,57.425,47
2026-01-05T00:55:00Z,57.425,57.434,57.333,57.37,109
2026-01-05T01:00:00Z,57.37,57.715,57.36,57.669,920
2026-01-05T01:05:00Z,57.669,57.715,57.633,57.649,332
2026-01-05T01:10:00Z,57.649,57.6627657,57.573,57.644,270
2026-01-05T01:15:00Z,57.644,57.653,57.528,57.569,200
2026-01-05T01:20:00Z,57.569,57.579,57.474,57.554,186
